This list contains all games supported by FB Alpha.

434 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
; ddtoda	;  	; Dungeons & Dragons - tower of doom (940113 Asia)	; ddtod		; 1994	; Capcom	; CPS2		; 					;
; ddtodr1	;  	; Dungeons & Dragons - tower of doom (940113 Euro)	; ddtod		; 1994	; Capcom	; CPS2		; 					;
; ddtodjr2	;  	; Dungeons & Dragons - tower of doom (940113 Japan)	; ddtod		; 1994	; Capcom	; CPS2		; 					;
; ddtodur1	;  	; Dungeons & Dragons - tower of doom (940113 USA)	; ddtod		; 1994	; Capcom	; CPS2		; 					;
; ddtodh	;  	; Dungeons & Dragons - tower of doom (940125 Hispanic)	; ddtod		; 1994	; Capcom	; CPS2		; 					;
; ddtodjr1	;  	; Dungeons & Dragons - tower of doom (940125 Japan)	; ddtod		; 1994	; Capcom	; CPS2		; 					;
; ddtodu	;  	; Dungeons & Dragons - tower of doom (940125 USA)	; ddtod		; 1994	; Capcom	; CPS2		; 					;
; ddtodd	;  	; Dungeons & Dragons - tower of doom (940412 Euro Phoeni; ddtod		; 1994	; bootleg	; CPS2		; 					;
; ddtod		;  	; Dungeons & Dragons - tower of doom (940412 Euro)	; 		; 1994	; Capcom	; CPS2		; 					;
; ddtodj	;  	; Dungeons & Dragons - tower of doom (940412 Japan)	; ddtod		; 1994	; Capcom	; CPS2		; 					;
; dynwar	;  	; Dynasty Wars (US set 1)				; 		; 1989	; Capcom	; CPS1		; 					;
; dynwaru	;  	; Dynasty Wars (US set 2)				; dynwar	; 1989	; Capcom	; CPS1		; 					;
; ecofghta	;  	; Eco Fighters (931203 Asia)				; ecofghtr	; 1993	; Capcom	; CPS2		; 					;
; ecofghtr	;  	; Eco Fighters (931203 etc)				; 		; 1993	; Capcom	; CPS2		; 					;
; ecofgtu1	;  	; Eco Fighters (931203 USA)				; ecofghtr	; 1993	; Capcom	; CPS2		; 					;
; ecofghtu	;  	; Eco Fighters (940215 USA)				; ecofghtr	; 1993	; Capcom	; CPS2		; 					;
; ffightj2	;  	; Final Fight (900112 Japan)				; ffight	; 1989	; Capcom	; CPS1		; 					;
; ffightua	;  	; Final Fight (900112 USA)				; ffight	; 1989	; Capcom	; CPS1		; 					;
; ffightj1	;  	; Final Fight (900305 Japan)				; ffight	; 1989	; Capcom	; CPS1		; 					;
; ffightub	;  	; Final Fight (900613 USA)				; ffight	; 1989	; Capcom	; CPS1		; 					;
; ffightj	;  	; Final Fight (Japan)					; ffight	; 1989	; Capcom	; CPS1		; 					;
; ffightu	;  	; Final Fight (USA)					; ffight	; 1989	; Capcom	; CPS1		; 					;
; ffight	;  	; Final Fight (World)					; 		; 1989	; Capcom	; CPS1		; 					;
; forgottn	;  	; Forgotten Worlds (US)					; 		; 1988	; Capcom	; CPS1		; 					;
; forgott1	; D NW	; Forgotten Worlds (World?)				; forgottn	; 1988	; Capcom	; CPS1		; Missing some 68k roms			;
; cps1frog	;  	; Frog Feast (CPS-1)					; 		; 2006	; Rastersoft (Ho; CPS1		; 					;
; ghoulsu	;  	; Ghouls'n Ghosts (US)					; ghouls	; 1988	; Capcom	; CPS1		; 					;
